id,word,pronounciation,english_meaning,vietnamese_meaning,synonyms,example
600,burn the candle at both ends,,"try to do too much, regularly going to bed late and getting up early in the morning",,,"Frank seemed to delight in burning the candle at both ends. No matter how late he stayed out, he was up at five o’clock the next morning to study."
601,cut corners,,"save time, money, or effort by not following the correct procedure or rules for doing something",,,He accused his manager of trying to save money by cutting corners on staff training.
602,not do things by halves,,always do things very well and thoroughly or in an extreme way,,,"Kim and Christopher Dunn are not a couple to do things by halves. When it came to furnishing their new home, they decided to completely redecorate the whole house."
603,do your level best,,try as hard as you can to do something,,,The President told American troops that he would do his level best to bring them home soon.
604,go all out,,try as hard as possible to achieve something,,,"If I had the choice over again, I would go all out for a degree in the sciences and specialize in teaching."
605,go the extra mile,,make a special effort to do or achieve something,,,I discovered that going the extra mile has always been a feature of successful people.
606,land / fall on your feet,,in a good situation by luck,,,"Everything I want, she’s got: a good marriage, a good home, nice children. While I struggle through life, she always lands on her feet."
607,not lift / raise a finger,,do not do anything,,,This Chancellor refuses to lift a finger to help working men and women.
608,make a meal (out) of something,,[mainly BRITISH] spend too much time or energy on something,,,He’s only been asked to write a brief essay but he’s making such a meal of it.
609,pull your socks up,,[BRITISH] improve your behaviour or work,,,If he wants to continue in the job he’ll have to pull his socks up.
610,pull your weight,,work as hard as everyone else who is involved in the same task or activity,,,I felt that John wasn’t pulling his weight around the house and asked him to do a bit more of the cleaning.
611,work your fingers to the bone,,work extremely hard,,,"I have washed, cooked, fetched and carried all my life. I work my fingers to the bone in this house."
612,work your socks off,,[INFORMAL] work extremely hard,,,They worked their socks off to make the business succeed.
613,agree to differ / disagree,,two people decide to stop arguing because neither of them is going to change their opinion,,,I find some of his views very odd and we’ve agreed to differ on some things.
614,at each other’s (one another’s) throats,,arguing in a very angry way,,,"The politicians are at one another’s throats all the time, and are not functioning as a very effective government."
615,a battle of wills,,the person with the strongest beliefs or personality will win in that argument or conflict,,,"It was a battle of wills, and Grace’s was the stronger."
616,a bone of contention,,an issue that people are arguing about,,,"Pay, of course, is not the only bone of contention."
617,clear the air,,something such as an argument or a discussion makes bad feelings between people go away,xua tan không khí nặng nề do hiểu lầm hay nghi kỵ,,"I get angry with Hannah, but I’m a great believer in expressing my feelings to clear the air."
618,cross swords,,disagree and argue with someone or oppose them,,,He repeatedly crossed swords with the Prime Minister in the early 1970s.
619,fight like cat and dog,,two people frequently have violent arguments or fights with each other,,,My brother and I are very close in age and we used to fight like cat and dog.
620,give someone a piece of your mind,,[INFORMAL] speak angrily to them because they have done something to annoy you,,,You can’t let people get away with behaviour like that. You should have given her a piece of your mind!
621,have a bone to pick with someone,,"[INFORMAL] you are annoyed with someone about something, and you want to talk to them about it",,,‘I have a bone to pick with you’. She wanted to bring up a matter that she had been afraid to discuss before.
622,have a go at someone,,"[mainly BRITISH, INFORMAL] criticize someone strongly, often without good reason",,,I was angry because I figured she was just having a go at me for the sake of it.
623,in someone’s bad books,,"[BRITISH, INFORMAL] done something that has annoyed someone",,,"Thomas knew that having burnt the cakes, he would be in Mrs Simpson’s bad books."
624,jump down someone’s throat,,[INFORMAL] someone react in a very angry way to something you have said or done,,,"If I even asked her about her day, she’d jump down my throat, as If I were interrogating her."
625,kiss and make up,,become friends again after an argument or fight,,,"I sent her a big bottle of champagne with a note saying, ‘Sorry, hope we can kiss and make up’."
626,not see eye to eye,,do not agree with someone about something,,,The Prime Minister didn’t see eye to eye with him on this issue.
627,a shouting match,,"an angry and uncontrolled argument or discussion about something, usually involving shouting",,,For a moment I thought the meeting was going to become a shouting match.
628,cost an arm and a leg,,cost a lot of money,,,It costs us an arm and a leg to get here. But It has been worth every penny and more.
629,"down the drain (plughole, toilet)",,be lost or wasted,,,"You have ruined everything – my perfect plans, my great organization. All those years of work are down the drain."
630,feel the pinch,,"do not have as much money as used to have, and so cannot buy the things they would like to buy",,,Poor households were still feeling the pinch and new taxes on fuel made matters even worse.
631,have deep pockets,,have a lot of money,,,The company will do anything to avoid scandal – and everyone knows it has deep pockets.
632,in the red,,owe money to someone or to another organization,,,"If you do go into the red, you get charged 30 pence for each transaction while you are overdrawn."
633,make ends meet,,"find it difficult to pay for the things you need in life, because you have very little money",,,Many people are struggling to make ends meet because wages are failing to keep pace with rising prices.
634,on a shoestring,,do it using very little money,,,Both films were made on a shoestring budget.
635,out of pocket,,have less money than you should have,,,"The promoter claims he was left £36,000 out of pocket after the concert."
636,be rolling in it (money),,[INFORMAL] very rich,,,Don’t worry about the cost – soon you’ll be rolling in it.
637,a small fortune,,a very large amount of money,,,"For almost two years, Hawkins made a small fortune running a corner shop."
638,there’s no such thing as a free lunch,,cannot expect to get things for nothing,,,There is no free lunch. You won’t get anything you don’t sweat and struggle for.
639,tighten your belt,,make an effort to spend less money,thắt lưng buộc bụng,,"Clearly, if you are spending more than your income, you’ll need to tighten your belt."
640,castles in the air,,not realistic and have no chance of succeeding,,,The population began to understand that the president’s election promises had been castles in the air.
641,not count your chickens before they’re hatched,,not making plans for the future because you do not know for certain how a particular situation will develop,,,"When dealing with important financial arrangements, never count your chickens before they’re hatched."
642,feel something in your bones,,"feel very strongly that you are right about something, although you cannot explain why",,,"Joe, I have a hunch you’re going to lose tonight. I just feel it in my bones."
643,not have a prayer,,it is impossible for someone to achieve something,,,"The team was on such good form, their opponents didn’t have a prayer."
644,it’s early days / it’s early in the day,,[BRITISH] too soon to be sure about what will happen about a situation in the future,,,"We haven’t made a lot of progress, but it’s early days yet."
645,a long shot,,there is little chance that the solution will succeed but you think it worth trying,,,You could try to find her. It’s a long shot but you could start with her old school.
646,on the cards,,[BRITISH] very likely to happen,,,A major change in the way hospitals and schools are funded is on the cards.
647,on the off-chance,,[mainly BRITISH] there is a small chance that a good thing will happen even though you do not really expect it to,khả năng vạn nhất xảy ra,,She had turned up on the off-chance of catching a glimpse of the princess.
648,out of the blue,,happens unexpectedly,,,"Then, out of the blue a solicitor’s letter arrived."
649,par for the course,,something is not good but it is what you expect,"những điều tất yếu, thông thuờng và có thể chấp nhận được trong một hoàn cảnh cụ thể",,"There are leaves and branches all over the streets, and the power is out. But that’s all par for the course in a hurricane."
650,not a snowball’s chance in hell,,"[BRITISH, SPOKEN] there is no chance at all that someone will do something or something will happen",,,Do you seriously think he has a snowball’s chance in hell of winning this election?
651,(down) in the dumps,,feel depressed,,,Try to support each other when one of you is feeling down in the dumps.
652,full of beans,,very happy and energetic,,,"Jem was among them, full of beans after his long sleep."
653,get a kick out of something,,[INFORMAL] enjoy something very much,,,"These doctors take on huge workloads and get a kick out of being busy, helping people, curing patients and saving lives."
654,get on top of you,,"something makes you feel sad or upset, and you are not able to deal with it",,,I was so fed up. Everything was just getting on top of me.
655,have a whale of a time,,[INFORMAL] enjoy oneself a lot,,,Kids of all ages will have a whale of a time at the amusement park.
656,a long face,,look very serious or unhappy,,,He came to me with a very long face and admitted there had been an error.
657,not a happy bunny,,"[BRITISH, INFORMAL] annoyed or unhappy about something",,,I’m receiving around 100 junk emails a day. I’m not a happy bunny.
658,on top of the world,,extremely happy,,,"The combination of cold, crisp snow and warm sunshine makes you feel on top of the world."
659,over the moon,,"[mainly BRITISH, INFORMAL] very happy",,,"‘Caroline must be pleased about her new job?’ ‘Yes, she’s over the moon.’"
660,by the skin of your teeth,,just manage to do something but very nearly fail,,,"In the men’s First Division, the champions survived by the skin of their teeth."
661,a close shave,,very nearly have a bad accident or very nearly suffer a defeat,,,McGregor had a close shave when a seven foot polar bear ran at him.
662,the coast is clear,,be able to do something because nobody is there to see you doing it,,,"‘You can come out now,’ he called. ‘The coast is clear. She’s gone!’"
663,a good / safe bet,,a sensible or useful thing to do or use,,,"If you want something smart to wear to a friend’s wedding, a dark suit is a good bet."
664,in safe hands,,being looked after by someone who will make sure they are not harmed or damaged,,,"They could get on with their own lives, knowing their girls were in safe hands."
665,play it safe,,do not take any risks,,,"If you want to play safe, cut down on the amount of salt you eat."
666,be playing with fire,,doing something that has big risks and is likely to cause problems,,,"In this economic climate, union leaders who are thinking about strikes are playing with fire."
667,put all your eggs in one basket,,put all your efforts or resources into one course of action and will not be able to do anything else if this fails,,,"You could argue this is a risky strategy, putting all your eggs in one basket; if the firm goes bust you lose your job and your savings and everything."
668,be skating on thin ice,,doing something which could have unpleasant consequences for them,,,He told me I was skating on thin ice and should change my attitude.
669,stick your neck out,,"say something which other people are afraid to say, even though this may cause trouble for you",đánh liều để đòi một cái gì,,"At the risk of sticking my neck out, I doubt whether the attempt will be successful."
670,take your life in (into) your hands,,take a lot of risks when you do something,,,You take your life into your hands just crossing the road in this city.
671,to be on the safe side,,"do something to protect yourself from harm or trouble, although it is unlikely to be necessary",,,I didn’t think it was serious but I took her to the doctor’s just to be on the safe side.
672,snap (bite) someone’s head off,,"[INFORMAL] speak to you in an unpleasant, angry way, because they are annoyed about something",,,Don’t bite my head off just because you’re fed up!
673,blow a fuse,,suddenly lose your temper and cannot control your anger,,,He’s going to blow a fuse when he finds out about Miller.
674,a dirty (filthy) look,,look at you in a way that shows that they are very angry about something,,,Tony was being really annoying. Michael gave him a dirty look and walked out of the kitchen.
675,drive someone up the wall,,[INFORMAL] annoy someone very much,,,He’s so uncooperative he’s beginning to drive me up the wall.
676,a face like thunder,,[BRITISH] look extremely angry,,,The kitchen had flooded and Mick was raging around the house with a face like thunder.
677,fly off the handle,,[INFORMAL] suddenly become very angry,,,"When I finally managed to speak to him, he flew off the handle and shouted down the phone."
678,give someone hell,,make your life very unpleasant by behaving badly towards you,,,Their younger son gives them hell.
679,go through (hit) the roof,,"[INFORMAL] suddenly become very angry, and usually show their anger by shouting at someone",,,When I told my mother she went through the roof.
680,have a chip on your shoulder,,"[SPOKEN] feel angry and resentful because they think that they have been treated unfairly, especially because of their background",,,She thinks he has a chip on his shoulder because he didn’t go to university.
681,have (throw) a fit,,become very angry and upset,,,She threw a fit when she found me in the dressing room.
682,lose it,,[INFORMAL] become extremely angry or upset,,,I completely lost it. I was shouting and swearing.
683,make your blood boil,,makes you very angry,,,It makes my blood boil. He doesn’t like talking to the players but he wants his opinions known.
684,a pain in the neck,,[INFORMAL] very annoying,,,He was a pain in the neck. I was glad when he left my department.
685,a sore point (spot),,"makes someone feel angry, embarrassed, or upset",,,Slow job growth is a sore spot for the President.
686,be barking up the wrong tree,,following the wrong course of action because their beliefs about something are not correct,,,Scientists in Switzerland realized that most other researchers had been barking up the wrong tree.
687,be flogging a dead horse,,[BRITISH] wasting time trying to achieve something that cannot be done,,,"After all our hard work, we don’t seem to be making any progress. It feels like we’re flogging a dead horse – it’s all very discouraging."
688,gain ground,,make progress and become more important or more powerful,đạt được tiến bộ hay thắng lợi,,His ideas on nutrition have been gaining ground in recent years.
689,get (come) to grips with something,,"start to deal with something effectively, usually by making an effort to understand it",,,The present government has completely failed to get to grips with our economic problems.
690,go around in circles,,achieve little because they repeatedly deal with the same point or problem,,,"My mind was going around in circles, worrying, but I knew that no news was good news."
691,in the doldrums,,not successful and are not making any progress,"buồn nản, chán nản",,"The restaurant business, like many other businesses, is in the doldrums."
692,in the pipeline,,being planned or developed,,,Another development in the pipeline is closed-circuit TV cameras in most stores.
693,make headway,,make progress with something that you are trying to achieve,,,A spokesman said the two sides have made headway on some issues.
694,on a roll,,making great progress and having a lot of success,,,"I’d done my first deal and I was on a roll, I couldn’t see anything going wrong."
695,on the right track,,acting or developing in a way that is likely to be successful,,,We are finding that guests for lunch and dinner are returning in increasing numbers – a sure sign that we are on the right track.
696,put something on hold,,decide not to do something or deal with it until a later time,,,We’ll have to put the project on hold until we get some more money.
697,have an axe to grind,,"have particular attitudes about something, often because they think they have been treated badly or because they want to get an advantage",luôn muốn bày tỏ quan điểm về một vấn đề nào đó,,"It would be best if an independent agency, that doesn’t have an axe to grind, could deal with this case."
698,jump on the bandwagon,,suddenly become involved in an activity because it is likely to succeed or it is fashionable,theo ai với hy vọng hưởng lợi chung với người ấy,,"There will always be people ready to jump on the bandwagon and start classes in whatever is fashionable, with little or no training."
699,keep a low profile,,avoid doing things that will make people notice them,,,The president continues to keep a low profile on vacation in Maine.
700,a labour of love,,a task that you do because you enjoy it or feel strongly that it is worth doing,,,"They restored the Victorian greenhouse, an expensive labour of love."
701,mean business,,serious and determined about what you are doing,,,One of them pointed a shotgun at me. I could see he meant business.
702,a nosey parker,,"[BRITISH, INFORMAL] someone who wants to know too much about other people",,,"The village’s nosey parker, Olive, likes to spy on her neighbours with binoculars."
703,steer clear of something,,deliberately avoid them,,,I’d advise anyone with sensitive or dry skin to steer clear of soap.
704,try your hand at something,,try doing something in order to see whether you are good at it,,,"After he left school, he tried his hand at a variety of jobs – bricklayer, baker, post man."
705,up to your ears,,very busy with work or an unpleasant situation or are deeply involved in it,,,I can’t come out this evening – I’m up to my ears in reports.
706,whet someone’s appetite,,makes someone want something,,,Winning the World Championship should have whetted his appetite for more success.
707,your heart isn’t in something,,not enthusiastic about something,,,"She was a successful teacher, popular with her pupils and her colleagues, but her heart wasn’t in it."
708,above board,,honest and legal,,,Anyone who wants to inspect our books can see for themselves that we are totally above board.
709,not beat around the bush,,say what you want to say clearly and directly,,,Let’s not beat about the bush. I think these letters are worth a lot to you.
710,below the belt,,say something cruel and unfair,,,He made a joke about her divorce which I thought was a bit below the belt.
711,by fair means or foul,,"use any possible method to achieve it, not caring if their behaviour is dishonest or unfair",,,"They will do everything they can to win, by fair means or foul."
712,call a spade a spade,,speak honestly and directly about a subject even if it offends people,,,"In the meantime, Whyte is an outspoken voice who is willing to call a spade a spade."
713,come clean,,tell the truth about something,,,I had expected her to come clean and confess that she only wrote these books for the money.
714,fair and square,,do something without cheating or lying,,,My father bought them fair and square fifty years ago. We’ve still got the receipts.
715,keep your nose clean,,[INFORMAL] behave well and avoid trouble,,,He’d worked hard and kept his nose clean for all those years.
716,lay (put) your cards on the table,,"tell someone the truth about your feelings, opinions, or plans",,,I’m going to put my cards on the table and make you an offer.
717,a level playing field,,a situation that is fair and where no one has an advantage over other people,,,Trade with these nations must be conducted on a level playing field.
718,move the goalposts,,"change the rules or aims in a situation or activity, in order to gain an advantage and to make things more difficult for the other people involved",,,They seem to move the goalposts every time I meet the required conditions.
719,on the level,,honest or true,,,"Wait a minute, something’s odd here – is this guy on the level? Can we trust him?"
720,call it quits,,decide to stop doing something or stop being involved in something,,,The nightclub stays open until the last customer is ready to call it quits.
721,cut your losses,,"decide to stop spending time, energy, or money on an activity or situation on which you have already spent a lot without having any success",,,"Competition in the market was very strong, so we decided to cut our losses and close the business."
722,grind to a halt,,gradually becomes slower or less active until it stops,,,The peace process has ground to a halt.
723,hit the ground running,,"start a new activity with great energy and enthusiasm, working effectively from the beginning",,,She’s having a holiday just now and will no doubt hit the ground running with all sorts of new ideas when she gets back.
724,in business,,[SPOKEN] start doing something because you have got everything ready for it,,,"The new software is installed and working, right? Okay, we’re in business."
725,knock a story or idea on the head,,"[INFORMAL, BRITISH] show that something is not true or correct",,,It’s time to knock the idea that we are not living a full life unless we are married on the head.
726,knock an activity on the head,,"[INFORMAL] stop doing it, or decide not to do it",,,"We’ll never be a famous band. When we stop enjoying ourselves, we’ll knock it on the head."
727,nip something in the bud,,stop a bad situation or bad behaviour at an early stage,ngăn chặn từ trong trứng nước,,It is important to recognize jealousy as soon as possible and to nip it in the bud before it becomes a serious problem.
728,set (start) the ball rolling,,start an activity or you do something which other people will join in with later,,,I’ve already started the ball rolling. I’ve set up meetings with all sorts of people.
729,turn over a new leaf,,starte to behave in a better way than before,,,"While Eddie has turned over a new leaf, his brother is still racing around in fast cars and causing trouble."
730,up and running,,"a system, business, or plan has started and is functioning successfully",,,"The project, once it is up and running, will be very dangerous."
731,blow the whistle on someone/something,,tell the authorities about them because you feel strongly that what they are doing is wrong,,,Members of coastal communities are being asked to blow the whistle on activities that damage the marine environment.
732,cover your tracks,,hide or destroy evidence of what they have done or where they have been,,,"He was a very clever man who never took a chance, a man who always covered his tracks."
733,be economical with the truth,,deceive people by not telling them the whole truth about something,,,"When they insisted that no changes had been made to the original plan, his team was being economical with the truth."
734,give the game away,,reveal something which someone had been trying to keep secret,,,Eric had intended to make his announcement in an article in The Times but the paper gave the game away by advertising the article a week before publishing.
735,go through the motions,,"do something that you have to do or are expected to do, but without any real effort or enthusiasm",,,"Alex didn’t really care about his job anymore, he was just going through the motions."
736,a hidden agenda,,ecretly trying to achieve something while they appear to be doing something else,,,The unions fear these tactics are part of a hidden agenda to reduce pay and conditions throughout the company.
737,keep something under your hat,,[INFORMAL] do not tell anyone else about something,,,"Very few people know, so keep it under your hat."
738,lead someone up the garden path,,deceive someone by making them believe something which is not true,,,He led me up the garden path. He said their relationship was over but now I know that it wasn’t.
739,lie through your teeth,,tell obvious lies and do not seem to be embarrassed about this,,,We ought to be angry that public officials lie through their teeth.
740,on the fiddle,,"[BRITISH] getting money dishonestly, for example by cheating with the accounts at work",,,A postman earning only £136 a week drove around in a Porsche for six months before his bosses realized he was on the fiddle.
741,pull someone’s leg,,"tease them about something, for example by telling them something which is not true",,,Tracey hasn’t really got a new job in New York. She was just pulling your leg.
742,sweep something under the carpet,,[BRITISH] try to hide something and forget about it,,,The problem has been brushed under the carpet for decades.
